serie,i,j,rep,cola,llamadas,tiempo_acum_ns,ops_acum,ops_cascada_acum
C,18,18,0,binomial,23488,6809171,151560,0
C,18,18,0,binomial,23552,6827689,151960,0
C,18,18,0,binomial,23616,6845872,152380,0
C,18,18,0,binomial,23680,6864301,152820,0
C,18,18,0,binomial,23744,6881328,153235,0
C,18,18,0,binomial,23808,6899146,153677,0
C,18,18,0,binomial,23872,6915686,154074,0
C,18,18,0,binomial,23936,6932985,154474,0
C,18,18,0,binomial,24000,6949990,154842,0
C,18,18,0,binomial,24064,6968293,155251,0
C,18,18,0,binomial,24128,6984603,155647,0
C,18,18,0,binomial,24192,7003326,156071,0
C,18,18,0,binomial,24256,7022093,156503,0
C,18,18,0,binomial,24320,7040252,156928,0
C,18,18,0,binomial,24384,7056723,157315,0
C,18,18,0,binomial,24448,7078074,157777,0
C,18,18,0,binomial,24512,7097010,158236,0
C,18,18,0,binomial,24576,7115936,158681,0
C,18,18,0,binomial,24640,7136891,159167,0
C,18,18,0,binomial,24704,7157238,159632,0
C,18,18,0,binomial,24768,7176886,160077,0
C,18,18,0,binomial,24832,7195582,160508,0
C,18,18,0,binomial,24896,7213573,160943,0
C,18,18,0,binomial,24960,7233138,161348,0
C,18,18,0,binomial,25024,7252694,161764,0
C,18,18,0,binomial,25088,7269513,162176,0
C,18,18,0,binomial,25152,7289980,162607,0
C,18,18,0,binomial,25216,7307632,163030,0
C,18,18,0,binomial,25280,7325070,163438,0
C,18,18,0,binomial,25344,7343819,163858,0
C,18,18,0,binomial,25408,7363832,164309,0
C,18,18,0,binomial,25472,7382258,164759,0
C,18,18,0,binomial,25536,7399878,165194,0
C,18,18,0,binomial,25600,7414169,165546,0
C,18,18,0,binomial,25664,7432375,165969,0
C,18,18,0,binomial,25728,7452417,166407,0
C,18,18,0,binomial,25792,7471310,166873,0
C,18,18,0,binomial,25856,7490090,167307,0
C,18,18,0,binomial,25920,7511665,167767,0
C,18,18,0,binomial,25984,7531288,168214,0
C,18,18,0,binomial,26048,7550130,168638,0
C,18,18,0,binomial,26112,7566530,169050,0
C,18,18,0,binomial,26176,7584184,169454,0
C,18,18,0,binomial,26240,7602863,169893,0
C,18,18,0,binomial,26304,7620841,170274,0
C,18,18,0,binomial,26368,7640012,170717,0
C,18,18,0,binomial,26432,7658125,171133,0
